,Unnamed: 0,ativos, v_firma , v_mercado ,  n_acao , div_yield , p_l , roic , lucro_2019 , lucro_2022 , caixa_2019 , caixa_2022 ,  valor_precovid
63,63,HAGA4,12.138.000,-5.302.850,11.900.000,"0,0%",2.19,"-12,2%",2.504.245,5.545.845,20.749,3.594,2.33
64,64,RNEW3,419.133.000,1.351.930.000,249.484.000,"0,0%",0.54,"-1,2%",-1.014.058.000,777.120.000,3.717.000,249.000,5.0
65,65,TCNO3,7.944.000,41.766.000,6.620.000,"0,0%",-6.81,"-1,6%",-1.175.000,-634,7.000,7.000,2.99
66,66,BRPR3,2.721.390.000,2.431.990.000,11.611.000,"42,9%",-1.79,"3,6%",311.352.000,-1.523.240.000,836.515.000,280.777.000,592.0
67,67,RDNI3,235.045.000,814.748.000,43.770.000,"1,1%",11.01,"1,8%",1.609.000,21.352.000,6.251.000,5.547.000,14.05
68,68,TGMA3,1.205.210.000,1.170.220.000,66.003.000,"6,1%",7.57,"21,9%",193.972.000,159.296.000,129.520.000,131.031.000,38.64
69,69,HAGA3,22.848.000,5.407.150,11.900.000,"0,0%",4.12,"-12,2%",2.504.245,5.545.845,20.749,3.594,4.05
70,70,AZEV3,116.542.000,172.172.000,77.180.000,"0,0%",-1.46,"-24,0%",-84.226.000,190.136.000,1.141.000,380.000,3.35
71,71,TXRX4,12.393.700,322.160.000,4.259.000,"0,0%",11.04,"17,6%",0,0,0,0,6.73
72,72,RCSL3,159.230.000,157.675.000,37.912.000,"0,0%",-12.4,"0,2%",-3.497.000,-12.844.000,392.000,1.553.000,5.38
73,73,FLRY3,5.331.800.000,7.700.400.000,367.204.000,"2,0%",17.32,"11,6%",312.317.000,307.908.000,2.701.000,9.121.000,30.93
74,74,BGIP4,265.959.000,-,15.285.000,"14,2%",3.52,-,83.614.000,75.512.000,--,--,37.49
75,75,WHRL4,6.642.310.000,6.246.140.000,1.502.790.000,"4,7%",15.94,"18,3%",1.774.763.000,416.715.000,1.003.947.000,859.145.000,9.9
76,76,EQMA3B,3.858.320.000,5.257.370.000,164.184.000,"8,6%",5.95,"16,2%",647.075.000,648.145.000,94.214.000,103.361.000,50.5
77,77,BRML3,6.841.540.000,8.712.370.000,828.274.000,"0,6%",11.94,"5,1%",1.246.405.000,572.920.000,978.000,1.404.000,0.0
78,78,SAPR3,5.349.670.000,9.224.980.000,1.511.210.000,"7,9%",4.65,"14,0%",1.080.034.000,1.151.538.000,1.590.807.000,1.207.932.000,7.0
79,79,TPIS3,146.080.000,1.747.460.000,176.000.000,"2,3%",22.89,"6,8%",-192.625.000,8.382.000,23.000,52.000,1.79
80,80,AZEV4,108.052.000,163.682.000,77.180.000,"0,0%",-1.35,"-24,0%",-84.226.000,190.136.000,1.141.000,380.000,3.13
81,81,UCAS3,159.928.000,141.856.000,66.086.000,"7,5%",4.85,"6,5%",17.984.000,32.947.000,38.151.000,18.531.000,5.2
82,82,LOGG3,1.615.130.000,3.091.480.000,102.159.000,"5,8%",4.18,"2,8%",90.202.000,386.072.000,16.329.000,295.841.000,29.54
83,83,0,0,0,0,0,0.0,0,0,0,0,0,0.0
84,84,GEPA4,2.229.560.000,2.987.870.000,94.433.000,"10,2%",9.17,"16,8%",246.390.000,243.225.000,228.713.000,189.709.000,53.01
85,85,TCNO4,5.627.000,39.449.000,6.620.000,"0,0%",-4.82,"-1,6%",-1.175.000,-634,7.000,7.000,1.8
86,86,PINE4,333.729.000,-,186.441.000,"3,4%",8.44,-,-118.208.000,40.900.000,--,--,4.0
87,87,BBDC3,126.110.000.000,-,10.642.200.000,"7,6%",6.08,-,22.582.615.000,20.732.172.000,--,--,23.95
88,88,CYRE3,5.628.380.000,7.650.650.000,399.743.000,"4,0%",6.96,"4,9%",415.841.000,808.880.000,29.278.000,3.882.000,30.79
89,89,RNEW11,409.154.000,1.341.950.000,249.484.000,"0,0%",0.53,"-1,2%",-1.014.058.000,777.120.000,3.717.000,249.000,12.22
90,90,BRSR3,4.551.880.000,-,408.974.000,"8,2%",6.37,-,1.344.418.000,714.934.000,--,--,22.5
91,91,EUCA3,884.511.000,1.414.730.000,92.619.000,"7,5%",3.43,"11,8%",65.683.000,257.503.000,1.854.000,28.000,20.64
92,92,VLID3,787.262.000,1.269.610.000,81.836.000,"2,7%",32.16,"18,1%",54.281.000,24.479.000,217.548.000,234.037.000,16.42
93,93,BLUT4,7.756.560,14.504.600,5.103.000,"0,0%",-1.66,"-0,3%",16.629.000,-4.662.000,0,0,0.0
94,94,WHRL3,6.582.200.000,6.186.030.000,1.502.790.000,"4,3%",15.8,"18,3%",1.774.763.000,416.715.000,1.003.947.000,859.145.000,9.1
95,95,SHOW3,114.602.000,23.658.100,67.413.000,"0,0%",-10.36,"15,0%",-70.789.000,-11.065.000,154.009.000,116.671.000,5.1
96,96,BBDC4,140.157.000.000,-,10.642.200.000,"7,5%",6.76,-,22.582.615.000,20.732.172.000,--,--,25.61
97,97,SAPR11,5.473.590.000,9.348.900.000,1.511.210.000,"8,3%",4.75,"14,0%",1.080.034.000,1.151.538.000,1.590.807.000,1.207.932.000,33.71
98,98,BRSR6,4.089.740.000,-,408.974.000,"9,1%",5.72,-,1.344.418.000,714.934.000,--,--,19.4
99,99,BPAN4,6.493.310.000,-,1.273.200.000,"5,6%",9.2,-,515.935.000,706.108.000,--,--,9.77
100,100,SAPR4,5.485.680.000,9.360.990.000,1.511.210.000,"8,5%",4.76,"14,0%",1.080.034.000,1.151.538.000,1.590.807.000,1.207.932.000,6.68
101,101,BDLL4,14.080.000,172.443.000,1.600.000,"0,0%",0.21,"-7,2%",-204.420.000,65.690.000,31.000,1.000,17.25
102,102,PFRM3,404.869.000,885.276.000,123.813.000,"5,3%",5.01,"13,7%",11.978.000,80.874.000,71.632.000,125.770.000,6.3
103,103,BRGE5,849.138.000,-674.519.000,73.646.000,"0,0%",10.11,"-40,0%",50.170.000,83.978.000,340.000,153.000,21.7
104,104,BOBR4,312.612.000,681.592.000,260.510.000,"0,0%",13.84,"23,0%",-40.487.000,22.583.000,20.566.000,13.466.000,2.22
105,105,DXCO3,4.921.910.000,8.749.800.000,837.059.000,"5,1%",6.51,"11,2%",405.564.000,755.861.000,1.061.512.000,1.352.062.000,12.44
106,106,MYPK3,1.844.640.000,6.034.570.000,153.720.000,"6,1%",6.61,"10,0%",337.435.000,278.933.000,521.162.000,1.236.846.000,21.27
107,107,UGPA3,15.568.200.000,22.700.300.000,1.115.200.000,"3,7%",8.65,"16,1%",373.526.000,1.800.839.000,17.277.000,605.461.000,23.94
108,108,NEOE3,18.207.000.000,54.809.000.000,1.213.800.000,"6,1%",3.86,"12,4%",2.229.000.000,4.685.000.000,376.000.000,777.000.000,25.94
109,109,GEPA3,2.147.410.000,2.905.710.000,94.433.000,"10,5%",8.83,"16,8%",246.390.000,243.225.000,228.713.000,189.709.000,44.31
110,110,BAHI3,211.973.000,379.931.000,23.897.700,"0,0%",-1.94,"-4,2%",-9.175.000,-109.422.000,10.191.000,11.239.000,19.6
111,111,RNEW4,416.638.000,1.349.440.000,249.484.000,"0,0%",0.54,"-1,2%",-1.014.058.000,777.120.000,3.717.000,249.000,3.53
112,112,POMO3,2.329.360.000,3.525.310.000,946.893.000,"9,5%",5.19,"6,4%",201.387.000,449.114.000,969.880.000,720.650.000,4.51
113,113,SANB3,93.956.600.000,-,7.498.530.000,"6,9%",7.6,-,14.088.490.000,12.358.525.000,--,--,21.95
114,114,REDE3,10.952.600.000,19.886.600.000,2.110.320.000,"14,2%",7.37,"16,0%",711.504.000,1.486.267.000,6.956.000,932.000,9.29
115,115,CRFB3,26.068.600.000,34.048.600.000,2.104.000.000,"2,7%",14.99,"8,1%",1.013.000.000,1.739.000.000,2.573.000.000,6.317.000.000,22.15
116,116,JHSF3,2.513.520.000,4.649.330.000,679.329.000,"5,2%",4.06,"8,5%",322.231.000,582.679.000,21.855.000,102.070.000,7.2
117,117,RAPT4,2.473.280.000,4.762.080.000,329.331.000,"11,5%",5.24,"16,4%",247.617.000,471.720.000,1.249.015.000,1.119.611.000,13.06
118,118,ENGI4,14.130.900.000,36.591.900.000,2.039.090.000,"5,7%",6.62,"11,2%",455.373.000,2.135.461.000,23.569.000,42.312.000,10.75
119,119,BRKM3,16.326.800.000,37.153.800.000,797.208.000,"8,3%",-48.64,"10,0%",-2.797.570.000,-335.677.000,2.974.723.000,4.186.996.000,34.3
120,120,CGAS3,16.001.900.000,21.741.300.000,132.521.000,"9,9%",8.83,"28,5%",1.367.179.000,1.811.479.000,1.477.619.000,1.241.256.000,199.99
121,121,IGTI3,5.112.950.000,6.383.500.000,2.104.090.000,"1,4%",675.6,"7,3%",310.129.000,-24.397.000,7.065.000,8.049.000,3.8
122,122,CCRO3,25.856.000.000,46.610.500.000,2.020.000.000,"3,0%",6.26,"23,8%",1.438.255.000,4.133.088.000,959.275.000,713.347.000,17.26
123,123,SANB11,100.480.000.000,-,7.498.530.000,"6,8%",8.13,-,14.088.490.000,12.358.525.000,--,--,42.63
124,124,CGAS5,16.966.700.000,22.706.000.000,132.521.000,"10,2%",9.37,"28,5%",1.367.179.000,1.811.479.000,1.477.619.000,1.241.256.000,204.5
125,125,GRND3,6.486.530.000,5.456.180.000,902.160.000,"4,3%",11.42,"8,0%",819.217.000,568.027.000,6.685.000,87.621.000,10.77
126,126,EALT3,171.000.000,284.659.000,22.500.000,"3,6%",4.62,"11,2%",16.850.000,37.002.000,4.398.000,9.689.000,12.5
127,127,B3SA3,60.226.600.000,57.433.300.000,5.819.000.000,"4,0%",14.25,"17,2%",2.714.166.000,4.226.057.000,2.559.888.000,2.397.220.000,16.21
128,128,OFSA3,1.335.240.000,1.582.570.000,53.949.000,"2,7%",10.22,"15,9%",46.278.000,130.663.000,24.004.000,12.440.000,39.95
129,129,BRKM5,15.433.900.000,36.260.900.000,797.208.000,"8,8%",-45.98,"10,0%",-2.797.570.000,-335.677.000,2.974.723.000,4.186.996.000,31.39
130,130,RAPT3,2.328.370.000,4.617.180.000,329.331.000,"12,2%",4.94,"16,4%",247.617.000,471.720.000,1.249.015.000,1.119.611.000,11.31
131,131,MRFG3,4.382.400.000,46.665.800.000,660.000.000,"34,3%",1.05,"7,0%",218.088.000,--,20.222.000,1.719.329.000,10.32
132,132,PARD3,2.592.070.000,2.784.380.000,130.979.000,"2,7%",15.01,"16,4%",158.142.000,172.669.000,190.792.000,266.514.000,28.68
133,133,POMO4,3.011.120.000,4.207.080.000,946.893.000,"7,4%",6.7,"6,4%",201.387.000,449.114.000,969.880.000,720.650.000,5.03
134,134,ENGI11,16.386.100.000,38.847.100.000,2.039.090.000,"4,9%",7.67,"11,2%",455.373.000,2.135.461.000,23.569.000,42.312.000,56.13
135,135,CIEL3,13.176.600.000,8.804.620.000,2.716.820.000,"5,2%",8.4,"13,8%",1.547.392.000,1.569.527.000,602.310.000,1.087.435.000,7.24
136,136,ODPV3,6.253.130.000,6.022.190.000,568.466.000,"2,9%",13.83,"37,4%",284.763.000,452.171.000,13.630.000,14.815.000,16.51
137,137,MERC4,135.075.000,-,18.010.000,"0,0%",-23.12,-,17.991.000,-5.842.000,--,--,12.02
138,138,CEBR5,937.066.000,197.557.000,72.082.000,"27,2%",4.77,"17,7%",119.045.000,196.341.000,491.688.000,349.631.000,16.4
139,139,SQIA3,1.384.210.000,1.502.930.000,87.942.000,"0,4%",82.47,"4,5%",-4.579.000,16.785.000,7.879.000,11.769.000,23.78
140,140,CSMG3,5.981.380.000,8.999.000.000,380.253.000,"8,2%",7.09,"10,8%",754.374.000,843.362.000,783.005.000,1.091.080.000,21.45
141,141,ITUB3,206.475.000.000,-,9.804.140.000,"5,9%",6.95,-,26.712.000.000,29.695.000.000,--,--,30.05
142,142,SANB4,107.454.000.000,-,7.498.530.000,"6,7%",8.69,-,14.088.490.000,12.358.525.000,--,--,20.73
143,143,VIVA3,5.219.980.000,5.129.960.000,236.198.000,"0,2%",14.47,"15,3%",Lucro/prejuízo consolidado do período,360.854.417,4.122.410,107.592,28.91
144,144,ITUB4,242.554.000.000,-,9.804.140.000,"5,0%",8.17,-,26.712.000.000,29.695.000.000,--,--,34.28
145,145,ITSA4,79.745.600.000,85.315.600.000,9.701.410.000,"5,6%",5.83,"1,4%",10.312.000.000,13.674.000.000,1.818.000.000,2.642.000.000,11.3
146,146,AFLT3,555.779.000,534.784.000,63.085.000,"2,7%",14.82,"14,0%",25.257.000,37.490.000,20.614.000,21.331.000,12.3
147,147,KEPL3,1.593.220.000,1.426.200.000,89.860.000,"11,4%",4.17,"57,4%",37.572.000,382.468.000,14.909.000,4.630.000,30.0
148,148,COCE5,3.471.550.000,7.861.210.000,77.855.000,"4,4%",5.42,"11,4%",404.905.000,640.570.000,153.556.000,182.558.000,62.87
149,149,MULT3,14.802.800.000,16.741.400.000,600.761.000,"3,4%",19.24,"11,9%",471.123.000,769.054.000,271.107.000,10.525.000,32.7
150,150,CRIV4,537.362.000,-,102.943.000,"9,1%",11.69,-,72.123.000,45.970.000,--,--,7.1
151,151,ITSA3,80.812.700.000,86.382.700.000,9.701.410.000,"5,5%",5.91,"1,4%",10.312.000.000,13.674.000.000,1.818.000.000,2.642.000.000,11.48
152,152,AESB3,5.983.160.000,13.094.600.000,601.927.000,"0,9%",39.97,"4,5%",0,149.700.000,226.736.000,35.056.000,0.0
153,153,VIVT3,64.313.100.000,81.340.100.000,1.663.560.000,"7,5%",15.74,"5,5%",5.001.014.000,4.085.013.000,6.104.212.000,1.359.061.000,51.98
154,154,TIMS3,30.453.700.000,30.684.200.000,2.420.800.000,"4,0%",18.23,"7,3%",3.860.162.000,1.670.755.000,4.002.880.000,1.785.100.000,16.33
155,155,MDIA3,8.549.580.000,10.111.500.000,339.000.000,"0,8%",17.74,"7,3%",556.884.000,481.839.000,844.747.000,639.300.000,41.58
156,156,USIM3,9.987.040.000,11.112.200.000,1.253.080.000,"7,2%",6.18,"13,9%",213.265.000,1.615.538.000,2.293.363.000,1.822.191.000,10.0
157,157,CSAN3,28.279.700.000,71.497.400.000,1.874.070.000,"2,8%",24.05,"4,9%",2.425.405.000,1.176.032.000,1.068.787.000,1.348.461.000,19.73
158,158,JBSS3,39.593.400.000,118.086.000.000,2.218.120.000,"11,3%",2.56,"-22,5%",6.068.368.000,0,2.487.025.000,2.096.334.000,25.51
159,159,BBAS3,112.066.000.000,-,2.865.420.000,"11,0%",3.64,-,17.899.349.000,30.796.870.000,--,--,49.11
160,160,USIM5,9.134.950.000,10.260.100.000,1.253.080.000,"8,6%",5.65,"13,9%",213.265.000,1.615.538.000,2.293.363.000,1.822.191.000,9.29
161,161,CEBR3,947.158.000,207.649.000,72.082.000,"27,0%",4.82,"17,7%",119.045.000,196.341.000,491.688.000,349.631.000,14.42
162,162,CBEE3,3.189.990.000,8.165.050.000,240.210.000,"0,6%",-34.53,"5,9%",279.258.000,-92.387.000,134.525.000,68.143.000,18.0
163,163,RAIL3,34.950.900.000,44.323.600.000,1.854.160.000,"0,1%",67.87,"7,0%",778.237.000,514.940.000,735.792.000,2.169.335.000,22.7
164,164,PSSA3,15.207.700.000,4.998.850.000,646.586.000,"3,0%",13.4,"57,4%",1.379.083.000,1.134.847.000,100.158.000,51.146.000,33.07
165,165,ABEV3,225.701.000.000,214.090.000.000,15.750.200.000,"5,3%",15.61,"15,5%",11.779.965.000,14.457.943.000,4.682.956.000,4.923.851.000,16.73
166,166,EGIE3,32.775.800.000,47.897.000.000,815.928.000,"5,5%",12.31,"14,7%",2.309.925.000,2.663.079.000,1.813.666.000,321.005.000,49.93
167,167,ALUP3,7.894.420.000,16.886.900.000,879.111.000,"4,6%",8.6,"11,9%",890.284.000,918.466.000,62.076.000,343.170.000,11.6
168,168,CEBR6,965.178.000,225.669.000,72.082.000,"29,1%",4.92,"17,7%",119.045.000,196.341.000,491.688.000,349.631.000,14.0
169,169,CPFE3,36.468.900.000,57.248.900.000,1.152.250.000,"10,2%",7.15,"15,1%",2.702.671.000,5.099.586.000,11.177.000,189.100.000,36.87
170,170,RPAD5,588.540.000,522.345.000,84.682.000,"8,3%",8.86,"-0,4%",40.880.000,66.391.000,181.000,64.000,8.63
171,171,CPLE3,17.076.100.000,26.851.600.000,2.736.550.000,"12,9%",15.36,"8,9%",1.989.946.000,1.112.007.000,441.957.000,199.877.000,7.77
172,172,CRIV3,530.156.000,-,102.943.000,"0,0%",11.53,-,72.123.000,45.970.000,--,--,6.25
173,173,ENAT3,3.011.590.000,2.783.370.000,265.807.000,"15,1%",7.86,"18,3%",183.874.000,383.375.000,220.000,63.378.000,15.28
174,174,SBSP3,34.592.400.000,50.005.800.000,683.510.000,"1,9%",11.08,"8,7%",3.367.517.000,3.121.267.000,491.492.000,1.867.485.000,61.33
175,175,BEES3,1.983.930.000,-,315.913.000,"9,1%",6.01,-,213.738.000,330.043.000,--,--,7.53
176,176,ABCB4,3.805.100.000,-,226.090.000,"6,4%",4.75,-,528.399.000,800.234.000,--,--,21.24
177,177,BRAP3,9.650.530.000,9.241.830.000,393.097.000,"12,1%",2.59,"-0,3%",-403.207.000,3.727.675.000,903.401.000,408.700.000,30.54
178,178,CAMB3,253.650.000,352.626.000,42.275.000,"4,3%",4.48,"26,7%",20.212.000,56.743.000,1.224.000,1.482.000,6.95
179,179,CAML3,2.380.000.000,5.441.300.000,350.000.000,"5,6%",4.96,"7,2%",0,0,0,0,8.75
180,180,CEEB3,10.090.700.000,22.206.700.000,262.096.000,"17,5%",6.44,"14,4%",1.009.000.000,1.567.000.000,677.000.000,1.002.000.000,43.0
181,181,CGRA4,541.326.000,415.975.000,19.346.900,"8,5%",4.55,"12,0%",129.450.203,119.071.000,0,0,32.02
182,182,DTCY3,58.994.300,59.727.300,11.131.000,"0,0%",-216.89,"-7,8%",-10.863.000,-272.000,810.000,501.000,5.8
183,183,BAUH4,418.543.000,415.008.000,5.222.000,"0,0%",-294.75,"7,2%",26.858.000,-1.420.000,4.871.000,13.544.000,93.92
184,184,BEES4,2.258.780.000,-,315.913.000,"8,0%",6.84,-,213.738.000,330.043.000,--,--,8.17
185,185,PETR4,305.893.000.000,530.403.000.000,13.044.500.000,"71,4%",1.62,"33,8%",40.137.000.000,188.328.000.000,2.876.000.000,3.627.000.000,29.13
186,186,BRAP4,10.542.900.000,10.134.200.000,393.097.000,"12,2%",2.83,"-0,3%",-403.207.000,3.727.675.000,903.401.000,408.700.000,32.68
187,187,BPAC5,56.725.200.000,-,11.506.100.000,"4,4%",7.23,-,3.927.617.000,7.841.837.000,--,--,5.58
188,188,BNBR3,6.996.050.000,-,86.371.000,"2,4%",3.47,-,1.736.685.000,2.015.331.000,--,--,88.0
189,189,CLSC4,1.940.170.000,3.448.760.000,38.572.000,"4,7%",3.59,"6,8%",283.575.000,540.562.000,5.345.000,48.205.000,54.5
190,190,TECN3,223.934.000,237.557.000,72.706.000,"2,7%",5.61,"13,6%",-122.654.000,39.925.000,92.000,15.000,2.73
191,191,PETR3,345.549.000.000,570.059.000.000,13.044.500.000,"63,2%",1.83,"33,8%",40.137.000.000,188.328.000.000,2.876.000.000,3.627.000.000,31.58
192,192,BRGE11,679.016.000,-844.641.000,73.646.000,"4,2%",8.09,"-40,0%",50.170.000,83.978.000,340.000,153.000,10.5
193,193,LIPR3,824.138.000,760.525.000,11.765.000,"2,6%",30.36,"-1,3%",-2.385.000,27.149.000,3.862.000,267.000,75.27
194,194,ELET6,83.701.600.000,117.530.000.000,2.307.100.000,"2,9%",23.02,"2,0%",11.195.036.000,3.635.377.000,3.280.706.000,7.845.720.000,37.32
195,195,RADL3,40.389.700.000,42.274.100.000,1.651.930.000,"1,0%",40.55,"14,0%",772.240.000,996.112.000,444.641.000,364.374.000,23.94
196,196,BBSE3,65.020.000.000,-,2.000.000.000,"8,9%",10.76,-,6.658.781.000,6.044.571.000,95.366.000,59.003.000,35.82
197,197,ELET3,76.780.300.000,110.609.000.000,2.307.100.000,"1,5%",21.12,"2,0%",11.195.036.000,3.635.377.000,3.280.706.000,7.845.720.000,34.32
198,198,KLBN11,20.325.500.000,41.363.800.000,5.617.890.000,"8,2%",4.33,"17,2%",675.825.000,4.461.250.000,3.439.810.000,3.798.650.000,20.53
199,199,CPLE6,18.991.700.000,28.767.200.000,2.736.550.000,"12,8%",17.08,"8,9%",1.989.946.000,1.112.007.000,441.957.000,199.877.000,7.22
