,Unnamed: 0,ativos, v_firma , v_mercado ,  n_acao , div_yield , p_l , roic , lucro_2019 , lucro_2022 , caixa_2019 , caixa_2022 ,  valor_precovid
244,244,RPAD6,567.369.000,501.174.000,84.682.000,"0,0%",8.55,"-0,4%",40.880.000,66.391.000,181.000,64.000,6.1
245,245,HYPE3,23.880.000.000,30.625.100.000,633.421.000,"3,3%",14.07,"12,0%",1.164.040.000,1.696.697.000,1.410.651.000,2.597.837.000,38.05
246,246,BEEF3,6.400.760.000,13.095.800.000,607.283.000,"5,3%",9.81,"22,0%",16.157.000,652.533.000,3.430.768.000,4.023.841.000,10.68
247,247,TOTS3,17.379.900.000,16.403.700.000,617.183.000,"1,1%",34.89,"17,7%",209.796.000,498.136.000,1.746.616.000,1.709.966.000,24.84
248,248,TUPY3,3.491.990.000,5.502.040.000,144.178.000,"1,9%",6.87,"13,3%",278.932.000,508.272.000,507.400.000,704.746.000,23.77
249,249,EPAR3,148.907.000,206.360.000,14.861.000,"0,0%",2.35,"29,1%",0,0,0,0,8.7
250,250,CSAB4,399.360.000,-,7.680.000,"1,3%",21.91,-,16.773.000,18.227.000,162.000,212.000,44.17
251,251,EQPA7,17.672.600.000,21.572.200.000,2.209.070.000,"11,0%",11.35,"24,4%",469.117.000,1.556.399.000,407.157.000,220.828.000,6.95
252,252,STBP3,7.017.060.000,6.737.500.000,864.170.000,"7,6%",16.34,"15,7%",15.375.000,429.450.000,652.494.000,357.331.000,6.79
253,253,TAEE4,12.060.900.000,19.133.900.000,1.033.500.000,"17,7%",8.32,"12,1%",1.105.661.000,1.449.215.000,1.232.515.000,759.628.000,10.17
254,254,MGEL4,77.899.900,700.419.000,5.783.210,"0,0%",0.3,"15,4%",-6.474.000,258.724.000,18.472.000,8.154.000,9.49
255,255,PTBL3,848.742.000,1.476.220.000,140.987.000,"5,1%",5.54,"18,2%",13.128.000,153.098.000,114.512.000,176.995.000,5.53
256,256,TAEE3,11.998.900.000,19.071.900.000,1.033.500.000,"17,8%",8.28,"12,1%",1.105.661.000,1.449.215.000,1.232.515.000,759.628.000,10.04
257,257,TAEE11,11.998.900.000,19.071.900.000,1.033.500.000,"17,8%",8.28,"12,1%",1.105.661.000,1.449.215.000,1.232.515.000,759.628.000,29.83
258,258,BRGE8,714.366.000,-809.291.000,73.646.000,"3,3%",8.51,"-40,0%",50.170.000,83.978.000,340.000,153.000,7.96
259,259,MILS3,2.386.730.000,2.562.800.000,246.309.000,"2,7%",11.02,"21,7%",-44.980.000,216.512.000,425.944.000,746.359.000,8.7
260,260,EQPA3,13.055.600.000,16.955.300.000,2.209.070.000,"14,9%",8.39,"24,4%",469.117.000,1.556.399.000,407.157.000,220.828.000,4.74
261,261,PLAS3,99.400.000,379.324.000,12.425.000,"0,0%",-1.02,"0,5%",-6.825.000,-97.121.000,4.751.000,18.156.000,7.18
262,262,BMEB4,1.053.560.000,-,104.832.000,"5,9%",5.25,-,121.400.000,200.571.000,--,--,8.0
